1;Quarta Asa;Rebecca Yarros;2021;false
2;A Empregada;Freida McFadden;2023;true
3;É Assim que Acaba;Colleen Hoover;2016;true
4;É Assim que Começa;Colleen Hoover;2022;true
5;Verity;Colleen Hoover;2018;false
6;O Homem Mais Rico da Babilônia;George S. Clason;1926;true
7;Pai Rico Pai Pobre;Robert Kiyosaki;1997;true
8;O Pequeno Príncipe;Antoine de Saint-Exupéry;1943;true
9;1984;George Orwell;1949;false
10;A Revolução dos Bichos;George Orwell;1945;true
11;Dom Casmurro;Machado de Assis;1899;true
12;Capitães da Areia;Jorge Amado;1937;true
13;Harry Potter e a Pedra Filosofal;J.K. Rowling;1997;false
14;Harry Potter e a Câmara Secreta;J.K. Rowling;1998;true
15;O Senhor dos Anéis: A Sociedade do Anel;J.R.R. Tolkien;1954;true
16;O Senhor dos Anéis: As Duas Torres;J.R.R. Tolkien;1954;false
17;O Senhor dos Anéis: O Retorno do Rei;J.R.R. Tolkien;1955;true
18;Jogos Vorazes;Suzanne Collins;2008;true
19;Em Chamas;Suzanne Collins;2009;false
20;A Esperança;Suzanne Collins;2010;true
21;A Culpa é das Estrelas;John Green;2012;true
22;Quem é Você, Alasca?;John Green;2005;true
23;O Código Da Vinci;Dan Brown;2003;false
24;Anjos e Demônios;Dan Brown;2000;true
25;O Alquimista;Paulo Coelho;1988;true
26;Brida;Paulo Coelho;1990;true
27;It: A Coisa;Stephen King;1986;false
28;O Iluminado;Stephen King;1977;true
29;Orgulho e Preconceito;Jane Austen;1813;true
30;Razão e Sensibilidade;Jane Austen;1811;true
31;A Menina que Roubava Livros;Markus Zusak;2005;false
32;O Diário de Anne Frank;Anne Frank;1947;true
33;Percy Jackson e o Ladrão de Raios;Rick Riordan;2005;true
34;Percy Jackson e o Mar de Monstros;Rick Riordan;2006;false
35;O Hobbit;J.R.R. Tolkien;1937;true
36;As Crônicas de Nárnia;C.S. Lewis;1950;true
37;O Silêncio dos Inocentes;Thomas Harris;1988;false
38;Drácula;Bram Stoker;1897;true
39;Frankenstein;Mary Shelley;1818;true
40;A Cabana;William P. Young;2007;true
41;O Milagre da Manhã;Hal Elrod;2012;true
42;Mindset;Carol S. Dweck;2006;true
43;Hábitos Atômicos;James Clear;2018;false
44;A Garota do Lago;Charlie Donlea;2016;true
45;A Paciente Silenciosa;Alex Michaelides;2019;false
46;O Conto da Aia;Margaret Atwood;1985;true
47;As Vantagens de Ser Invisível;Stephen Chbosky;1999;true
48;O Nome do Vento;Patrick Rothfuss;2007;false
49;A Sutil Arte de Ligar o F*da-se;Mark Manson;2016;true
50;O Poder do Hábito;Charles Duhigg;2012;true
